City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,suva,-18.1416,178.4415,24.71,88,20,1.03,FJ,1709572248
83,antonio enes,-16.2325,39.9086,27.66,79,96,1.86,MZ,1709572420
84,port elizabeth,-33.918,25.5701,21.72,84,85,3.58,ZA,1709572311
85,flin flon,54.7682,-101.865,-14.7,89,100,2.58,CA,1709572420
86,otjimbingwe,-22.35,16.1333,29.11,20,18,7.74,NA,1709572421
87,luderitz,-26.6481,15.1594,19.03,80,74,6.97,NA,1709572243
88,utrik,11.2278,169.8474,26.46,75,87,10.91,MH,1709572238
89,kyzyl-mazhalyk,51.1333,90.6,-13.94,93,100,0.45,RU,1709572421
90,tieli,46.95,128.05,-20.38,100,73,1.97,CN,1709572421
91,berasia,23.6333,77.4333,19.12,22,1,3.48,IN,1709572422
92,cabo san lucas,22.8909,-109.9124,27.01,63,0,3.09,MX,1709572228
93,edinburgh of the seven seas,-37.0676,-12.3116,18.38,92,75,9.48,SH,1709572232
94,punta arenas,-53.15,-70.9167,13.06,67,0,5.66,CL,1709572241
95,la ronge,55.1001,-105.2842,-15.88,78,100,2.57,CA,1709572294
96,jamestown,42.097,-79.2353,20.77,57,21,2.68,US,1709572168
97,ponto novo,-10.8628,-40.1336,31.42,50,96,3.24,BR,1709572423
98,ribeira grande,38.5167,-28.7,14.32,62,75,5.66,PT,1709572231
99,labytnangi,66.6572,66.4183,-25.15,93,16,1.94,RU,1709572293
100,kailua-kona,19.6406,-155.9956,22.98,74,75,3.6,US,1709572424
101,lebu,-37.6167,-73.65,16.21,64,0,7.96,CL,1709572345
102,charters towers,-20.1,146.2667,23.04,91,24,4.24,AU,1709572371
103,hamilton,39.1834,-84.5333,22.08,75,40,3.6,US,1709571996
104,hasaki,35.7333,140.8333,5.22,61,99,6.24,JP,1709572363
105,albertina,-22.2008,-46.6158,30.25,40,22,1.22,BR,1709572425
106,progreso,21.2833,-89.6667,33.31,47,11,4.21,MX,1709572425
107,mata-utu,-13.2816,-176.1745,28.78,79,95,7.37,WF,1709572359
108,wentworth falls,-33.7167,150.3833,13.01,94,93,0.48,AU,1709572425
109,stanley,54.868,-1.6985,7.77,82,20,5.14,GB,1709572264
110,le port,-20.9373,55.2919,26.0,85,100,2.06,RE,1709572426
111,brookings,44.3114,-96.7984,0.66,61,100,5.14,US,1709572298
112,sola,-13.8833,167.55,28.27,80,99,6.7,VU,1709572258
113,mwene-ditu,-7.0,23.45,21.99,93,94,1.36,CD,1709572427
114,xiongzhou,25.1167,114.3,15.86,98,100,0.73,CN,1709572427
115,zhijiang,30.4214,111.7533,9.49,72,100,5.98,CN,1709572427
116,santa cruz,-17.8,-63.1667,28.7,84,75,2.57,BO,1709572428
117,ivankiv,50.9386,29.8943,4.94,69,100,4.3,UA,1709572428
118,colonia,50.9333,6.95,11.03,74,100,0.51,DE,1709572288
119,saint-francois,46.4154,3.9054,9.12,59,100,1.03,FR,1709572428
120,petropavlovsk-kamchatsky,53.0452,158.6483,-11.97,83,0,5.36,RU,1709572239
121,tucupita,9.0622,-62.051,36.47,29,3,2.37,VE,1709572337
122,margate,51.3813,1.3862,8.82,75,100,0.89,GB,1709572282
123,puerto baquerizo moreno,-0.9,-89.6,27.55,78,40,2.06,EC,1709572364
124,vadso,70.0744,29.7487,-3.91,86,20,3.09,NO,1709572307
125,kenai,60.5544,-151.2583,-6.59,77,100,4.63,US,1709572430
126,annau,37.8876,58.516,7.2,53,83,2.15,TM,1709572430
127,la passe,45.5549,-0.8967,8.13,80,100,7.51,FR,1709572302
128,udachny,66.4167,112.4,-19.33,100,100,1.38,RU,1709572316
129,igarka,67.4667,86.5833,-29.78,100,83,1.42,RU,1709572327
130,george town,5.4112,100.3354,28.96,84,40,1.54,MY,1709572430
131,mitchell,43.7094,-98.0298,1.52,43,100,4.63,US,1709572431
132,alofi,-19.0595,-169.9187,25.94,89,75,3.09,NU,1709572377
133,candelaria,13.9311,121.4233,23.16,95,6,1.3,PH,1709572117
134,alice springs,-23.7,133.8833,25.75,62,94,1.54,AU,1709572356
135,tazovsky,67.4667,78.7,-18.97,97,100,2.58,RU,1709572371
136,vidyayevo,69.3191,32.8049,-5.81,98,96,2.52,RU,1709572432
137,east london,-33.0153,27.9116,23.03,78,86,4.63,ZA,1709572203
138,los frentones,-26.4077,-61.4137,25.64,78,97,1.41,AR,1709572432
139,pariaman,-0.619,100.12,26.03,89,100,1.43,ID,1709572432
140,kolonia town,6.964,158.206,28.0,74,75,3.09,FM,1709572266
141,al wafrah,28.6392,47.9306,20.1,30,0,3.26,KW,1709572433
142,ilulissat,69.2167,-51.1,-8.99,41,40,1.03,GL,1709572246
143,college,64.8569,-147.8028,-15.03,61,100,1.54,US,1709572234
144,malmesbury,-33.4608,18.7271,16.53,79,86,6.34,ZA,1709572433
145,kovdor,67.5662,30.4758,-8.27,98,81,1.4,RU,1709572434
146,al ghayzah,16.2079,52.176,24.7,75,6,5.52,YE,1709572330
147,pontes e lacerda,-15.2261,-59.3353,34.03,47,76,2.16,BR,1709572174
148,el-tor,28.2364,33.6254,21.08,43,0,2.06,EG,1709572434
149,nova sintra,14.8667,-24.7167,19.45,72,0,9.85,CV,1709572230
150,alo,7.4178,6.7371,36.97,31,99,1.77,NG,1709572435
151,sedona,34.8697,-111.761,11.86,63,100,5.66,US,1709572435
152,new norfolk,-42.7826,147.0587,9.28,98,70,1.21,AU,1709572266
153,nemuro,43.3236,145.575,-5.63,72,12,6.58,JP,1709572284
154,san javier,37.8063,-0.8374,20.38,48,0,5.36,ES,1709572435
155,hithadhoo,-0.6,73.0833,28.42,75,80,5.48,MV,1709572237
156,mejit,10.2753,170.8646,26.55,76,85,10.89,MH,1709572316
157,kangding,30.0513,101.9603,7.97,58,44,2.77,CN,1709572265
158,kapa'a,22.0752,-159.319,21.18,88,100,6.17,US,1709572269
159,vila franca do campo,37.7167,-25.4333,14.23,63,97,1.82,PT,1709572436
160,kourou,5.1552,-52.6478,31.03,63,79,3.39,GF,1709572245
161,margaret river,-33.95,115.0667,16.78,76,44,4.82,AU,1709572242
162,ocean shores,46.9737,-124.1563,6.12,84,0,4.63,US,1709572437
163,alindao,5.0267,21.2088,33.39,30,69,1.03,CF,1709572437
164,natal,-5.795,-35.2094,33.36,46,40,5.14,BR,1709572380
165,vilyuchinsk,52.9306,158.4028,-11.15,84,93,3.87,RU,1709572297
166,saint-pierre,-21.3393,55.4781,25.82,94,0,1.54,RE,1709572375
167,ciudad insurgentes,25.2625,-111.7753,20.38,48,77,8.32,MX,1709572438
168,usogorsk,63.4106,48.6872,-7.41,91,100,5.25,RU,1709572303
169,sitka,57.0531,-135.33,-6.06,58,75,2.06,US,1709572111
170,happy valley-goose bay,53.3168,-60.3315,-8.38,61,0,4.05,CA,1709572306
171,kalmunai,7.4167,81.8167,25.35,75,3,2.06,LK,1709572362
172,tarakan,3.3,117.6333,26.21,83,34,1.47,ID,1709572439
